t,x_L,x_R
3.61,-1.0597998698145632,0.8826108997126476
3.615,-0.9592843723968023,0.7649113171841527
3.62,-0.8442550600319856,0.6296274588350713
3.625,-0.7174238184876442,0.48673447571442036
3.63,-0.5761145106638896,0.3404449512276659
3.6350000000000002,-0.429193648628003,0.186594923048119
3.64,-0.27777945957181105,0.02769943712579756
3.645,-0.12375258008806439,-0.12935052258809696
3.65,0.03712935753550836,-0.2866281080868497
3.6550000000000002,0.19502873121692105,-0.43655334889839637
3.66,0.35691591979289816,-0.5728944219396171
3.665,0.5077464196556156,-0.7044396582094262
3.67,0.6539637365923728,-0.8334007041542626
3.6750000000000003,0.7837291683667652,-0.9440697658388141
3.68,0.9004234033666937,-1.0404560417214503
3.685,1.0060441637962008,-1.114575527064922
3.69,1.096324694284908,-1.1730404223464839
3.6950000000000003,1.172374050733625,-1.2150232944350288
3.7,1.2237232318151177,-1.2406802568453148
3.705,1.2523877179720058,-1.2499921047903788
3.71,1.2640962661069874,-1.2384432483041157
3.715,1.2539368030395377,-1.2023170965038923
3.72,1.2212493352147655,-1.1421495140133928
3.725,1.1711373944520733,-1.0719316230376243
3.73,1.1099372182502216,-0.9858707426660436
3.735,1.0263255168464758,-0.8805639527112921
3.74,0.9214135962070873,-0.7694324725187938
3.745,0.8083355035258871,-0.6421387644200228
3.75,0.6787459339598345,-0.5037500806460935
3.755,0.5379532532638313,-0.3477524868305093
3.7600000000000002,0.3917744988746054,-0.19504721372833198
3.765,0.23973164770587732,-0.0382758100432008
3.77,0.08367807775103685,0.11144014625627635
3.775,-0.0679609088010874,0.2716010721246467
3.7800000000000002,-0.2274682939467024,0.424794533044154
3.785,-0.37688101881358294,0.5743200266756416
3.79,-0.521424950025793,0.7187086324290447
3.795,-0.6599784013525846,0.8512363663044982
3.8000000000000003,-0.7865651075751817,0.9596628658570542
3.805,-0.9013749181522328,1.0585163013477996
3.81,-1.0004802256999106,1.1402660299846976
3.815,-1.0853736835383925,1.2030886329152393
3.8200000000000003,-1.1581555560612837,1.2436726521864336
3.825,-1.2061836696235888,1.2679645898453953
3.83,-1.226122869685944,1.2764322994757868
3.835,-1.2359810811823568,1.2656374071272993
3.84,-1.226559950394012,1.2338238116179432
3.845,-1.197019756446154,1.1814665310071129
3.85,-1.1499988285595875,1.1129226553975184
3.855,-1.079347204012613,1.02447314576514
3.86,-0.9919219041868277,0.9195208499094234
